Producto,Variante,Casa Luden,Casa Dylan,Casa Jean,Codigo,Costo,Precio de venta,
Shorts Young LA,Negro S,1,1,0,YLBK-S,266.48,450,
Shorts Young LA,Negro M,2,2,1,YLBK-M,266.48,450,
Shorts Young LA,Negro L,2,1,0,YLBK-L,266.48,450,
Shorts Young LA,Beige S,1,1,0,YLBG-S,266.48,450,
Shorts Young LA,Beige M,1,1,0,YLBG-M,266.48,450,
Shorts Young LA,Beige L,0,1,1,YLBG-L,266.48,450,
Short falda,Negra S,2,1,0,SFBK-S,131.78,400,
Short falda,Negra M,2,2,0,SFBK-M,131.78,400,
Short falda,Negra L,1,1,1,SFBK-L,131.78,400,
Short falda,Blanca S,2,1,0,SFWH-S,131.78,400,
Short falda,Blanca M,2,2,0,SFWH-M,131.78,400,
Short falda,Blanca L,1,1,1,SFWH-L,131.78,400,
Enterizo deportivo v2,Blanco M,1,1,0,EDWH-M,468.91,740,
Enterizo deportivo v2,Blanco L,0,1,1,EDWH-L,468.91,740,
Leggins,Gris S,2,2,0,YPGR-S,360.56,550,
Leggins,Gris M,1,1,0,YPGR-M,360.56,550,
Leggins,Gris L,2,2,0,YPGR-L,360.56,550,
Leggins,Gris XL,0,1,1,YPGR-XL,360.56,550,
Leggins,Rosa S,1,1,0,YPPK-S,360.56,550,
Leggins,Rosa M,1,1,0,YPPK-M,360.56,550,
Leggins,Rosa L,1,0,0,YPPK-L,360.56,550,
Leggins,Rojo S,1,0,0,YPRD-S,360.56,550,
Leggins,Azul S,1,1,0,YPBL-S,360.56,550,
Leggins,Azul M,1,1,0,YPBL-M,360.56,550,
Leggins,Azul L,0,1,1,YPBL-L,360.56,550,
Leggins,Negro L,2,2,0,YPBK-L,360.56,550,
Leggins,Negro XL,0,1,1,YPBK-XL,360.56,550,
Enterizo normal,Negro S,2,2,1,YJBK-S,230.25,450,
Enterizo normal,Negro M,2,2,1,YJBK-M,230.25,450,
Enterizo normal,Negro L,2,2,1,YJBK-L,230.25,450,
Enterizo normal,Café S,2,2,1,YJBR-S,230.25,450,
Enterizo normal,Café M,2,2,1,YJBR-M,230.25,450,
Enterizo normal,Café L,2,2,1,YJBR-L,230.25,450,
Compresión manga corta,Blanca S,2,2,1,TSWH-S,144.59,320,
Compresión manga corta,Blanca M,2,2,1,TSWH-M,144.59,320,
Compresión manga corta,Blanca L,2,2,0,TSWH-L,144.59,320,
Compresión manga corta,Blanca XL,1,1,0,TSWH-XL,144.59,320,
Compresión manga corta,Negra S,5,6,1,TSBK-S,144.59,320,
Compresión manga corta,Negra M,5,6,1,TSBK-M,144.59,320,
Compresión manga corta,Negra L,2,2,1,TSBK-L,144.59,320,
Compresión manga corta,Negra XL,2,2,1,TSBK-XL,144.59,320,
Compresión sin manga,Negra S,2,2,0,CCBK-S,160.7,320,
Compresión sin manga,Negra M,2,2,0,CCBK-M,160.7,320,
Compresión sin manga,Negra L,1,1,0,CCBK-L,160.7,320,
Compresión sin manga,Blanca S,2,2,0,CCWH-S,160.7,320,
Compresión sin manga,Blanca M,2,2,0,CCWH-M,160.7,320,
Compresión sin manga,Blanca L,2,2,0,CCWL-L,160.7,320,
Compresión manga larga,Negra S,2,2,1,TSMLBK-S,168.75,350,
Compresión manga larga,Negra M,2,2,1,TSMLBK-M,168.75,350,
Compresión manga larga,Negra L,2,2,1,TSMLBK-L,168.75,350,
Compresión manga larga,Blanca S,2,2,0,TSMLWH-S,168.75,350,
Compresión manga larga,Blanca M,2,2,0,TSMLWH-M,168.75,350,
Compresión manga larga,Blanca L,1,1,0,TSMLWH-L,168.75,350,
,,86,88,23,197,,,#REF!
